DMA,city,state
743,Anchorage,AK
745,Fairbanks,AK
747,Juneau,AK
630,Birmingham (Ann & Tusc),AL
606,Dothan,AL
691,Huntsville - Decatur (Flor),AL
686,Mobile - Pensacola (Ft Walt),AL
698,Montgomery (Selma),AL
670,Ft. Smith - Fay - Sprngdl - Rgrs,AR
734,Jonesboro,AR
693,Little Rock - Pine Bluff,AR
753,Phoenix (Prescott),AZ
789,Tucson (Sierra Vista),AZ
771,Yuma - El Centro,AZ
800,Bakersfield,CA
868,Chico - Redding,CA
802,Eureka,CA
866,Fresno - Visalia,CA
803,Los Angeles,CA
828,Monterey - Salinas,CA
804,Palm Springs,CA
862,Sacramnto - Stktn - Modesto,CA
825,San Diego,CA
807,San Francisco - Oak - San Jose,CA
855,Santabarbra - Sanmar - Sanluob,CA
752,Colorado Springs - Pueblo,CO
751,Denver,CO
773,Grand Junction - Montrose,CO
533,Hartford & New Haven,CT
511,"Washington, DC (Hagrstwn)",DC
550,Wilmington,DE
571,Ft. Myers - Naples,FL
592,Gainesville,FL
561,Jacksonville,FL
528,Miami - Ft. Lauderdale,FL
534,Orlando - Daytona Bch - Melbrn,FL
656,Panama City,FL
538,"Rochester, NY",FL
530,Tallahassee - Thomasville,FL
539,Tampa - St. Pete (Sarasota),FL
548,West Palm Beach - Ft. Pierce,FL
525,"Albany, GA",GA
524,Atlanta,GA
520,Augusta,GA
522,"Columbus, GA",GA
503,Macon,GA
507,Savannah,GA
744,Honolulu,HI
637,Cedar Rapids - Wtrlo - Iwc&Dub,IA
679,Des Moines - Ames,IA
631,Ottumwa - Kirksville,IA
611,Rochestr - Mason City - Austin,IA
624,Sioux City,IA
757,Boise,ID
758,Idaho Falls - Pocatello,ID
711,Meridian,ID
760,Twin Falls,ID
648,Champaign & Sprngfld - Decatur,IL
602,Chicago,IL
682,Davenport - R. Island - Moline,IL
675,Peoria - Bloomington,IL
717,Quincy - Hannibal - Keokuk,IL
610,Rockford,IL
649,Evansville,IN
509,Ft. Wayne,IN
527,Indianapolis,IN
582,"Lafayette, IN",IN
588,South Bend - Elkhart,IN
581,Terre Haute,IN
605,Topeka,KS
541,Lexington,KY
529,Louisville,KY
632,Paducah - Cape Girar D - Harsbg,KY
678,Wichita - Hutchinson Plus,KY
644,"Alexandria, LA",LA
716,Baton Rouge,LA
642,"Lafayette, LA",LA
643,Lake Charles,LA
628,Monroe - El Dorado,LA
622,New Orleans,LA
612,Shreveport,LA
